2ndRef_1,Temp_1,SC_1
2.399904299993068,65535,22959,10817
7.395105900010094,65535,22955,10821
12.406759700039402,65535,22954,10819
17.415174700086936,65535,22959,10810
22.423138600075617,65535,22959,10820
27.419322000001557,65535,22958,10820
32.42829349997919,65535,22958,10820
37.42477170005441,65535,22959,10820
42.43379849998746,65535,22958,10820
47.43508780002594,65535,22956,10820
52.43976380000822,65535,22958,10820
57.449757200083695,65535,22956,10819
62.45005660003517,65535,22950,10819
67.45987460005563,65535,22949,10819
72.47071849997155,65535,22946,10819
77.4803230999969,65535,22947,10820
82.48781359998975,65535,22940,10820
87.48650580004323,65535,22938,10820
92.49429880001117,65535,22932,10819
97.50802369997837,65535,22934,10819
102.51399500004482,65535,22931,10819
107.5127966,65535,22928,10821
107.54084250004962,65535,22925,10820
107.55705030006357,65535,22927,10818
107.5754926999798,65535,22927,10819
107.59118750004563,65535,22929,10821
107.60658470005728,65535,22926,10818
107.62274330004584,65535,22926,10820
107.63866230007261,65535,22927,10819
107.65473920002114,65535,22925,10819
107.67059170000721,65535,22927,10818
107.70063199999277,65535,22927,10819
107.71669220004696,65535,22923,10817
107.73274570005015,65535,22925,10820
107.75039040006232,65535,22926,10819
107.76783380005509,65535,22924,10819
107.79473399999551,65535,22923,10819
107.79940180003177,65535,22924,10820
107.81475110002793,65535,22923,10818
107.83033750008326,65535,22925,10818
107.84668910002802,65535,22925,10818
107.87681540008634,65535,22923,10820
107.892833000049,65535,22927,10818
107.91064150002785,65535,22927,10818
107.9291015000781,65535,22926,10819
107.94488730002195,65535,22923,10819
107.96128849999513,65535,22928,10818
107.97746070008725,65535,22927,10819
107.99374030006584,65535,22924,10819
108.00847690005321,65535,22925,10819
108.02512770006433,65535,22925,10820
108.05321530008223,65535,22925,10818
108.06910379999317,65535,22924,10819
108.08688179997262,65535,22924,10818
108.10491900006309,65535,22925,10819
108.12030469998717,65535,22927,10820
108.13544700003695,65535,22926,10818
108.15312370005995,65535,22922,10818
108.1682028999785,65535,22923,10820
108.18526400008705,65535,22923,10819
108.20054660004098,65535,22924,10819
108.22911329998169,65535,22926,10818
108.24502610007767,65535,22925,10820
108.26223660004325,65535,22925,10818
108.27922780008521,65535,22924,10820
108.29677390004508,65535,22922,10819
108.31376539997291,65535,22924,10821
108.3295511000324,65535,22922,10818
108.34533090004697,65535,22921,10819
108.36147810006514,65535,22922,10818
108.37780220003333,65535,22925,10819
108.40581989998464,65535,22922,10819
108.42139769997448,65535,22924,10819
108.4394177000504,65535,22924,10820
108.45784920000006,65535,22919,10820
108.4736516000703,65535,22922,10819
108.48935689998325,65535,22921,10819
108.50448070000857,65535,22923,10818
108.52021420001984,65535,22924,10818
108.53633520007133,65535,22923,10817
108.55295759998262,65535,22924,10819
108.58114879997447,65535,22923,10820
108.59741619997658,65535,22921,10819
108.61478760000318,65535,22922,10819
108.63196140003856,65535,22925,10819
108.68086459999904,65535,22922,10821
