Cell_1,Cell_2,Cell_3,Cell_4,Cell_5,Cell_6,Cell_7,Cell_8,Cell_9,Cell_10,Cell_11,Cell_12
2.3805835000239313,3.5999,3.5997,3.5998,3.6,3.6,3.6001,0.0,0.0,0.0,0.0,0.0,0.0
7.3912028999766335,3.5998,3.5995,3.5998,3.5998,3.5999,3.5999,0.0,0.0,0.0,0.0,0.0,0.0
12.40219849999994,3.5999,3.5997,3.5998,3.5998,3.6,3.5996,0.0,0.0,0.0,0.0,0.0,0.0
17.412592999986373,3.6002,3.5995,3.5998,3.6,3.5999,3.6,0.0,0.0001,0.0,0.0,0.0,0.0
22.407041399972513,3.6,3.5998,3.5999,3.6,3.6,3.5999,0.0,0.0,0.0,0.0001,0.0,0.0
27.41791010007728,3.5999,3.5998,3.6,3.6,3.5998,3.5999,0.0,0.0,0.0,0.0,0.0,0.0
32.41249240003526,3.5988,3.6001,3.5997,3.6,3.6,3.6,0.0,0.0,0.0,0.0,0.0,0.0
37.423077600076795,3.5998,3.6001,3.5997,3.5997,3.5997,3.5999,0.0,0.0,0.0,0.0,0.0,0.0
42.41781830007676,3.6,3.5996,3.5999,3.5997,3.5998,3.5998,0.0,0.0,0.0,0.0,0.0,0.0
47.42926370003261,3.5999,3.5999,3.5999,3.5999,3.6001,3.5998,0.0,0.0001,0.0,0.0,0.0,0.0
52.4233200000599,3.6,3.5998,3.6,3.6,3.6,3.6,0.0,0.0001,0.0,0.0,0.0,0.0
57.43399470008444,3.5996,3.5994,3.5996,3.5997,3.5999,3.5996,0.0,0.0,0.0,0.0,0.0,0.0
62.4454235000303,3.5998,3.5994,3.5998,3.5998,3.5996,3.5994,0.0,0.0,0.0,0.0,0.0,0.0
67.45513230003417,3.5999,3.5994,3.5996,3.5996,3.5998,3.5995,0.0,0.0001,0.0,0.0,0.0,0.0
72.46643630007748,3.5998,3.5994,3.5997,3.5996,3.5998,3.5995,0.0,0.0,0.0,0.0,0.0,0.0
77.46112670004368,3.5999,3.5995,3.5996,3.5997,3.5998,3.5995,0.0,0.0,0.0,0.0,0.0,0.0
82.47183870000299,3.5996,3.5996,3.5997,3.5996,3.5995,3.5995,0.0,0.0,0.0,0.0001,0.0,0.0
87.48207150003873,3.5998,3.5995,3.5996,3.5997,3.5997,3.5993,0.0,0.0,0.0,0.0,0.0,0.0
92.4924359000288,3.5997,3.5996,3.5996,3.5996,3.5997,3.5993,0.0,0.0,0.0,0.0,0.0,0.0
97.50398769997992,3.5998,3.5994,3.5996,3.5997,3.5997,3.5994,0.0,0.0,0.0,0.0,0.0,0.0
102.49848399998154,3.5997,3.5994,3.5997,3.5996,3.5996,3.5993,0.0,0.0001,0.0,0.0,0.0,0.0
