2ndRef_1,Temp_1,SC_1
423.7884018999757,65535,23211,10824
423.80432409991045,65535,23210,10823
423.8198557998985,65535,23210,10824
423.83571509993635,65535,23211,10823
423.85238329996355,65535,23210,10823
423.8698386999313,65535,23212,10824
423.88293809990864,65535,23212,10825
423.9121662999969,65535,23212,10824
423.92817789991386,65535,23211,10823
423.9441861999221,65535,23213,10823
423.96202549990267,65535,23212,10825
423.9806898999959,65535,23209,10822
423.9970654998906,65535,23211,10822
424.0133277999703,65535,23212,10823
424.0295811999822,65535,23213,10823
424.04423969995696,65535,23211,10823
424.0605801999336,65535,23211,10823
424.07571329991333,65535,23209,10823
424.0926006999798,65535,23209,10823
424.12056299997494,65535,23214,10826
424.1366154999705,65535,23208,10824
424.1529452999821,65535,23208,10823
424.17231599998195,65535,23211,10824
424.189840399893,65535,23208,10824
424.20408059994224,65535,23210,10824
424.2183331999695,65535,23209,10823
424.23507339996286,65535,23211,10825
424.2524042999139,65535,23211,10824
424.26853889995255,65535,23211,10823
424.2852744999109,65535,23208,10823
424.3003946999088,65535,23210,10822
424.32846169988625,65535,23211,10823
424.344549399917,65535,23209,10823
424.36039959988557,65535,23211,10826
424.38086979999207,65535,23212,10823
424.3966781999916,65535,23209,10822
424.4132089999039,65535,23208,10824
424.4292506999336,65535,23209,10825
424.4430747999577,65535,23208,10825
424.4607902999269,65535,23209,10823
424.4770884999307,65535,23209,10824
424.49241449998226,65535,23211,10823
424.5088610999519,65535,23212,10825
424.53718659991864,65535,23212,10825
424.55300069996156,65535,23212,10824
424.56895739992615,65535,23211,10822
424.58645759988576,65535,23211,10825
424.6024780999869,65535,23208,10813
424.6192691999022,65535,23212,10825
424.63522339996416,65535,23212,10823
424.6505445999792,65535,23215,10826
424.66626099997666,65535,23212,10823
424.68265309999697,65535,23210,10823
424.699166999897,65535,23213,10825
424.71437739999965,65535,23213,10823
424.74452729988843,65535,23212,10824
424.7605261999415,65535,23212,10822
424.7767403998878,65535,23212,10824
424.79632459999993,65535,23212,10823
424.8129500999348,65535,23213,10825
424.8304904999677,65535,23211,10825
424.845821899944,65535,23211,10822
424.8611718999455,65535,23211,10824
424.8757577999495,65535,23210,10824
424.89318989997264,65535,23213,10825
424.90839649992995,65535,23209,10824
424.92435969994403,65535,23210,10824
424.9528778999811,65535,23211,10823
424.9687214998994,65535,23212,10823
424.98481499997433,65535,23210,10824
425.00403699988965,65535,23213,10823
425.01990449998993,65535,23211,10824
425.03628749994095,65535,23212,10823
425.0527123999782,65535,23210,10824
425.06868699996267,65535,23209,10824
425.08432189992163,65535,23213,10823
425.0983694999013,65535,23211,10823
425.11585099995136,65535,23213,10824
425.1320603999775,65535,23214,10824
425.16082129999995,65535,23212,10824
425.17680949997157,65535,23216,10824
425.19316979998257,65535,23214,10824
425.21269570000004,65535,23209,10823
425.2290257998975,65535,23214,10823
425.24263229989447,65535,23211,10823
425.28240559995174,65535,23214,10822
425.2876503999578,65535,23211,10824
425.2902753999224,65535,23215,10823
425.3064899999881,65535,23213,10824
425.3224743999308,65535,23212,10823
425.3387676998973,65535,23212,10824
425.36949229997117,65535,23212,10823
425.38509429991245,65535,23212,10813
425.4009367999388,65535,23214,10822
425.4198739998974,65535,23216,10822
425.4364812999265,65535,23215,10823
425.4530811998993,65535,23214,10824
425.46849729993846,65535,23211,10823
425.48490649997257,65535,23212,10823
425.5008902999107,65535,23212,10822
425.51787289988715,65535,23211,10825
425.5332943999674,65535,23212,10825
425.5487797999522,65535,23211,10825
425.57707099989057,65535,23214,10824
425.5930666999193,65535,23214,10824
425.609278799966,65535,23213,10825
425.62746469990816,65535,23212,10824
425.64567599992733,65535,23214,10823
425.66243699996267,65535,23213,10824
425.6779521999415,65535,23210,10827
425.6938461998943,65535,23214,10824
425.7094772999408,65535,23214,10824
425.7246413999237,65535,23214,10825
425.73976539995056,65535,23215,10824
425.7546867999481,65535,23214,10823
425.7852229999844,65535,23212,10823
425.80123209999874,65535,23213,10825
425.8172946999548,65535,23214,10826
425.83648999989964,65535,23214,10823
425.85351439996157,65535,23212,10822
425.869213799946,65535,23210,10824
430.8791248999769,65535,23239,10824
435.88780009991024,65535,23235,10825
440.8964527999051,65535,23242,10825
445.90695199999027,65535,23247,10826
450.91769049991854,65535,23258,10813
455.91587259992957,65535,23263,10824
460.92763569997624,65535,23271,10815
465.9376171999611,65535,23278,10825
470.9482507999055,65535,23288,10823
475.95824739988893,65535,23290,10813
480.9660271999892,65535,23292,10824
485.97864849993493,65535,23301,10814
490.9897365999641,65535,23306,10813
495.99989579990506,65535,23309,10823
501.0102817999432,65535,23319,10826
506.0199562999187,65535,23322,10824
511.0275524999015,65535,23327,10814
516.0370223999489,65535,23331,10825
521.047368099913,65535,23346,10823
526.0577064999379,65535,23342,10816
531.0570916999131,65535,23350,10814
536.0676663999911,65535,23356,10814
541.0780659999,65535,23360,10813
546.0868424999062,65535,23357,10813
551.0985962999985,65535,23362,10815
556.1087570999516,65535,23364,10814
561.1171076999744,65535,23373,10815
566.130244199885,65535,23376,10813
571.1397505999776,65535,23384,10815
576.1505769999931,65535,23381,10815
581.1581020999001,65535,23388,10814
586.1669459999539,65535,23394,10814
591.176939399913,65535,23395,10815
596.1874028999591,65535,23395,10814
601.1975645999191,65535,23401,10816
606.1968386999797,65535,23405,10814
611.2068926999345,65535,23407,10813
616.2169368999312,65535,23408,10816
621.2282897999976,65535,23414,10814
626.2383619999746,65535,23415,10814
631.2481341999955,65535,23421,10814
636.2583278999664,65535,23422,10815
641.269275699975,65535,23430,10816
646.2791773999343,65535,23429,10816
651.2902957999613,65535,23428,10816
656.2999783999985,65535,23435,10814
661.3091598999454,65535,23435,10814
666.3174323999556,65535,23436,10814
671.3277137998957,65535,23440,10812
676.3388892998919,65535,23446,10816
681.3373762998963,65535,23446,10815
686.3466712998925,65535,23450,10814
691.3587699999334,65535,23450,10816
696.368576399982,65535,23453,10813
701.3780104999896,65535,23456,10816
706.388844299945,65535,23459,10825
711.3993211999768,65535,23460,10826
716.4080514999805,65535,23460,10827
721.4201796998968,65535,23463,10826
726.4309348999523,65535,23466,10817
731.4410883999662,65535,23468,10815
736.4488869999768,65535,23470,10825
741.4568396999966,65535,23471,10824
746.467441799934,65535,23477,10815
751.481304799905,65535,23478,10815
756.4770271999296,65535,23477,10815
761.4867213999387,65535,23482,10814
766.4979754999513,65535,23482,10815
771.5055161999771,65535,23484,10815
776.5199817999965,65535,23484,10826
781.5289308999199,65535,23489,10815
786.539722199901,65535,23489,10823
791.5512938998872,65535,23493,10814
796.5602779999608,65535,23494,10815
801.570485199918,65535,23491,10827
806.580616399995,65535,23497,10825
811.5898219998926,65535,23498,10826
816.5968713999027,65535,23502,10826
821.6073320999276,65535,23508,10825
826.6179112999234,65535,23508,10825
831.6172802998917,65535,23509,10813
836.6249319999479,65535,23514,10817
841.6377740999451,65535,23512,10825
846.6484039999777,65535,23518,10826
851.6580366999842,65535,23526,10817
851.6751887999708,65535,23522,10814
851.6875940999016,65535,23520,10815
851.7036093999632,65535,23521,10817
851.7336898999056,65535,23521,10816
851.7497793999501,65535,23521,10827
851.7658707998926,65535,23522,10815
851.7833331999136,65535,23521,10825
851.7993389999028,65535,23522,10815
851.8153638999211,65535,23520,10816
851.8314294999,65535,23519,10816
851.8475757999113,65535,23522,10825
851.8633300999645,65535,23522,10815
851.8796122999629,65535,23522,10816
851.8955569999525,65535,23520,10826
851.9114655999001,65535,23522,10815
851.9418279998936,65535,23517,10814
851.9577896998962,65535,23521,10825
851.9739598999731,65535,23519,10814
851.991529299994,65535,23521,10826
852.00832049991,65535,23518,10816
852.0434847999131,65535,23519,10816
852.0460897999583,65535,23521,10814
852.0555907998933,65535,23520,10815
852.0714585999958,65535,23519,10815
852.08775159996,65535,23520,10815
852.1045972999418,65535,23518,10827
852.1204284999985,65535,23516,10816
852.1501896999544,65535,23518,10816
852.1666883999715,65535,23518,10816
852.1821792999981,65535,23518,10815
852.201515099965,65535,23519,10816
852.2185606999556,65535,23517,10815
852.2349623999326,65535,23516,10815
852.2509677999187,65535,23516,10826
852.2665825999575,65535,23519,10817
852.2802260998869,65535,23518,10817
852.2967859999044,65535,23519,10826
852.3142819999484,65535,23520,10815
852.3304515999043,65535,23518,10816
852.3581673000008,65535,23519,10816
852.37428489991,65535,23519,10815
852.390158199938,65535,23517,10817
852.4102713998873,65535,23521,10825
852.4266311998945,65535,23523,10815
852.4428512998857,65535,23518,10826
852.4591938999947,65535,23518,10815
852.4751760999206,65535,23520,10815
852.4902434999822,65535,23519,10817
852.5062963999808,65535,23518,10826
